Date,Tier,OTM,ShortOTM,LongOTM,Safety,Premium,PnL,DaysHeld,Result,Risk,Side,VIX,ATR,Score,Size,Week,WeekCap,Year,Regime
2016-04-12,Cautious,650,650,850,100.0,40,16.0,5,WIN,160.0,Bull Put,16.02,53.1,0,1.5,2016_15,300.0,2016,elevated
2016-04-20,Wednesday-MW,600,600,800,100.0,50,24.0,5,WIN,150.0,Bull Put,17.08,62.0,0,0.75,2016_16,300.0,2016,elevated
2016-04-21,Normal,550,550,750,99.9,60,31.0,5,WIN,140.0,Bull Put,16.51,64.3,1,1.5,2016_16,300.0,2016,elevated
2016-04-25,Normal,550,550,750,99.9,60,31.0,5,WIN,140.0,Bull Put,16.57,64.7,0,1.5,2016_17,300.0,2016,elevated
2016-04-26,Normal,550,550,750,99.7,60,31.0,7,WIN,140.0,Bull Put,16.58,70.9,0,1.5,2016_17,300.0,2016,elevated
2016-05-02,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,17.09,76.7,0,1.5,2016_18,300.0,2016,elevated
2016-05-03,Cautious,650,650,850,99.7,40,16.0,5,WIN,160.0,Bull Put,17.46,82.3,1,1.5,2016_18,300.0,2016,elevated
2016-05-09,Normal,550,550,750,98.8,60,31.0,5,WIN,140.0,Bull Put,16.61,82.7,0,1.5,2016_19,300.0,2016,elevated
2016-05-10,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,16.42,81.0,0,1.5,2016_19,300.0,2016,elevated
2016-05-16,Normal,550,550,750,98.4,60,31.0,6,WIN,140.0,Bull Put,17.03,85.9,0,1.5,2016_20,300.0,2016,elevated
2016-05-17,Normal,550,550,750,98.5,60,31.0,6,WIN,140.0,Bull Put,16.37,85.6,0,1.5,2016_20,300.0,2016,elevated
2016-05-23,Normal,550,550,750,98.4,60,31.0,5,WIN,140.0,Bull Put,16.16,86.4,0,1.5,2016_21,300.0,2016,elevated
2016-05-24,Normal,550,550,750,98.7,60,31.0,5,WIN,140.0,Bull Put,16.22,83.5,0,1.5,2016_21,300.0,2016,elevated
2016-05-31,Normal,550,550,750,97.9,60,31.0,5,WIN,140.0,Bull Put,16.05,89.9,1,1.5,2016_22,300.0,2016,elevated
2016-06-01,Wednesday-MW,600,600,800,99.1,50,24.0,5,WIN,150.0,Bull Put,15.84,87.4,1,0.75,2016_22,420.0,2016,normal
2016-06-06,Monday-RW,600,600,800,99.5,45,20.9,6,WIN,155.0,Bull Put,15.36,81.4,0,0.75,2016_23,420.0,2016,normal
2016-06-07,Normal,550,550,750,98.9,60,31.0,6,WIN,140.0,Bull Put,14.87,81.9,1,1.5,2016_23,420.0,2016,normal
2016-06-14,Normal,550,550,750,98.9,60,31.0,5,WIN,140.0,Bull Put,17.19,81.4,1,1.5,2016_24,300.0,2016,elevated
2016-06-15,Wednesday-MW,600,600,800,99.4,50,24.0,5,WIN,150.0,Bull Put,17.06,82.9,1,0.75,2016_24,300.0,2016,elevated
2016-06-20,Normal,550,550,750,98.2,60,31.0,6,WIN,140.0,Bull Put,17.52,87.9,0,1.5,2016_25,300.0,2016,elevated
2016-06-21,Normal,550,550,750,98.5,60,31.0,6,WIN,140.0,Bull Put,17.26,85.5,0,1.5,2016_25,300.0,2016,elevated
2016-06-27,Normal,550,550,750,95.7,60,31.0,5,WIN,140.0,Bull Put,18.53,102.9,1,1.5,2016_26,300.0,2016,elevated
2016-06-28,Normal,550,550,750,96.3,60,31.0,5,WIN,140.0,Bull Put,17.73,99.4,0,1.5,2016_26,300.0,2016,elevated
2016-07-04,Monday-RW,600,600,800,98.3,45,20.9,5,WIN,155.0,Bull Put,15.58,95.0,1,0.75,2016_27,420.0,2016,normal
2016-07-05,Normal,550,550,750,97.5,60,31.0,5,WIN,140.0,Bull Put,15.36,92.5,1,1.5,2016_27,420.0,2016,normal
2016-07-12,Normal,550,550,750,98.0,60,31.0,5,WIN,140.0,Bull Put,14.78,89.1,1,1.5,2016_28,420.0,2016,normal
2016-07-13,Normal,550,550,750,98.4,60,31.0,5,WIN,140.0,Bull Put,15.33,86.2,2,1.5,2016_28,420.0,2016,normal
2016-07-18,Monday-RW,600,600,800,99.2,45,20.9,5,WIN,155.0,Bull Put,15.99,85.5,1,0.75,2016_29,420.0,2016,normal
2016-07-19,NarrowCondor,400+400,400,600,92.9,220,116.0,6,WIN,180.0,Condor,15.8,83.8,1,1.0,2016_29,420.0,2016,normal
2016-07-25,Monday-RW,600,600,800,99.4,45,20.9,5,WIN,155.0,Bull Put,15.72,82.9,1,0.75,2016_30,420.0,2016,normal
2016-07-26,Normal,550,550,750,98.9,60,31.0,5,WIN,140.0,Bull Put,15.62,81.8,0,1.5,2016_30,420.0,2016,normal
2016-08-01,Monday-RW,600,600,800,99.5,45,20.9,5,WIN,155.0,Bull Put,15.18,81.1,0,0.75,2016_31,420.0,2016,normal
2016-08-02,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,15.69,80.7,0,1.5,2016_31,420.0,2016,normal
2016-08-05,Near-VC,700,700,900,99.8,80,44.0,5,WIN,120.0,Bull Put,14.35,85.6,0,0.75,2016_31,420.0,2016,normal
2016-08-08,Monday-RW,600,600,800,99.4,45,20.9,6,WIN,155.0,Bull Put,14.59,82.6,0,0.75,2016_32,420.0,2016,normal
2016-08-09,NarrowCondor,400+400,400,600,93.1,220,116.0,6,WIN,180.0,Condor,14.54,83.1,0,1.0,2016_32,420.0,2016,normal
2016-08-16,NarrowCondor,400+400,400,600,92.7,220,116.0,5,WIN,180.0,Condor,14.18,84.4,0,1.0,2016_33,420.0,2016,normal
2016-08-18,Normal,550,550,750,98.9,60,31.0,6,WIN,140.0,Bull Put,14.55,81.8,0,1.5,2016_33,420.0,2016,normal
2016-08-22,Monday-RW,600,600,800,99.6,45,20.9,5,WIN,155.0,Bull Put,14.24,78.7,0,0.75,2016_34,420.0,2016,normal
2016-08-23,NarrowCondor,400+400,400,600,94.9,220,116.0,7,WIN,180.0,Condor,13.9,77.4,0,1.0,2016_34,420.0,2016,normal
2016-08-29,Monday-RW,600,600,800,99.7,45,20.9,5,WIN,155.0,Bull Put,13.17,76.4,0,0.75,2016_35,420.0,2016,normal
2016-08-30,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,13.02,80.3,0,1.5,2016_35,420.0,2016,normal
2016-09-06,Normal,550,550,750,98.9,60,31.0,7,WIN,140.0,Bull Put,12.75,81.2,2,1.5,2016_36,420.0,2016,normal
2016-09-07,Normal,550,550,750,99.1,60,31.0,7,WIN,140.0,Bull Put,13.15,79.4,2,1.5,2016_36,420.0,2016,normal
2016-09-14,Normal,550,550,750,98.8,60,31.0,5,WIN,140.0,Bull Put,14.76,82.7,2,1.5,2016_37,420.0,2016,normal
2016-09-15,NarrowCondor,400+400,400,600,94.1,220,116.0,6,WIN,180.0,Condor,14.68,80.1,1,1.0,2016_37,420.0,2016,normal
2016-09-19,Monday-RW,600,600,800,99.6,45,20.9,6,WIN,155.0,Bull Put,14.94,79.2,1,0.75,2016_38,420.0,2016,normal
2016-09-20,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,14.78,77.6,1,1.5,2016_38,420.0,2016,normal
2016-09-23,Near-VC,700,700,900,99.9,80,44.0,6,WIN,120.0,Bull Put,13.25,78.6,0,0.75,2016_38,420.0,2016,normal
2016-09-27,NarrowCondor,400+400,400,600,93.9,220,116.0,6,WIN,180.0,Condor,14.25,80.6,0,1.0,2016_39,420.0,2016,normal
2016-09-28,Wednesday-MW,600,600,800,99.6,50,24.0,5,WIN,150.0,Bull Put,13.85,79.3,0,0.75,2016_39,420.0,2016,normal
2016-10-03,VIX-Collapse,700,700,900,99.6,100,62.0,7,WIN,100.0,Bull Put,15.62,92.6,0,1.5,2016_40,420.0,2016,normal
2016-10-04,Near-VC,700,700,900,99.7,80,44.0,7,WIN,120.0,Bull Put,14.99,89.3,0,0.75,2016_40,420.0,2016,normal
2016-10-06,Cautious,650,650,850,99.4,40,16.0,6,WIN,160.0,Bull Put,14.84,89.8,0,1.5,2016_40,420.0,2016,normal
2016-10-10,Monday-RW,600,600,800,99.2,45,20.9,6,WIN,155.0,Bull Put,14.29,84.9,0,0.75,2016_41,420.0,2016,normal
2016-10-14,NarrowCondor,400+400,400,600,91.2,220,116.0,7,WIN,180.0,Condor,14.89,88.5,1,1.0,2016_41,420.0,2016,normal
2016-10-18,NarrowCondor,400+400,400,600,88.9,220,116.0,5,WIN,180.0,Condor,14.54,94.9,0,1.0,2016_42,420.0,2016,normal
2016-10-19,Wednesday-MW,600,600,800,98.6,50,24.0,5,WIN,150.0,Bull Put,14.61,92.4,0,0.75,2016_42,420.0,2016,normal
2016-10-24,Monday-RW,600,600,800,99.2,45,20.9,7,WIN,155.0,Bull Put,14.33,85.8,1,0.75,2016_43,420.0,2016,normal
2016-10-25,NarrowCondor,400+400,400,600,92.9,220,116.0,7,WIN,180.0,Condor,14.48,83.8,0,1.0,2016_43,420.0,2016,normal
2016-11-03,Bear-Call,550,550,750,98.9,60,32.0,6,WIN,140.0,Bear Call,16.47,82.2,0,1.5,2016_44,300.0,2016,elevated
2016-11-08,Bear-Call,550,550,750,98.6,60,32.0,5,WIN,140.0,Bear Call,16.77,84.4,0,1.5,2016_45,300.0,2016,elevated
2016-11-24,Bear-Call,550,550,750,91.7,60,32.0,7,WIN,140.0,Bear Call,17.16,119.7,2,1.0,2016_47,300.0,2016,elevated
