date,spread
2016-04-08,1.5020000338554382
2016-04-11,1.5139999836683273
2016-04-12,1.5510000139474869
2016-04-13,1.5389999598264694
2016-04-14,1.5660000145435333
2016-04-15,1.5419999808073044
2016-04-18,1.5750000029802322
2016-04-19,1.5679999887943268
2016-04-20,1.6359999775886536
2016-04-21,1.645000010728836
2016-04-22,1.6630000174045563
2016-04-25,1.6639999449253082
2016-04-26,1.6859999895095825
2016-04-27,1.6150000095367432
2016-04-28,1.6280000656843185
2016-04-29,1.626000002026558
2016-05-02,1.6800000071525574
2016-05-03,1.5969999581575394
2016-05-04,1.5860000401735306
2016-05-05,1.563999980688095
2016-05-06,1.5990000367164612
2016-05-09,1.556999996304512
2016-05-10,1.516999989748001
2016-05-11,1.488999992609024
2016-05-12,1.4989999830722809
2016-05-13,1.4470000565052032
2016-05-16,1.495000034570694
2016-05-17,1.4909999370574951
2016-05-18,1.6099999845027924
2016-05-19,1.5550000369548798
2016-05-20,1.5509999692440033
2016-05-23,1.5250000655651093
2016-05-24,1.515999972820282
2016-05-25,1.5550000071525574
2016-05-26,1.5479999482631683
2016-05-27,1.5529999434947968
2016-05-31,1.5509999990463257
2016-06-01,1.5509999692440033
2016-06-02,1.5409999787807465
2016-06-03,1.4339999854564667
2016-06-06,1.4730000495910645
2016-06-07,1.4480000734329224
2016-06-08,1.4709999710321426
2016-06-09,1.4399999529123306
2016-06-10,1.3990000635385513
2016-06-13,1.371000051498413
2016-06-14,1.347999930381775
2016-06-15,1.340999960899353
2016-06-16,1.319000005722046
2016-06-17,1.370000034570694
2016-06-20,1.4219999611377716
2016-06-21,1.4320000410079956
2016-06-22,1.4169999361038208
2016-06-23,1.4639999568462372
2016-06-24,1.3409999907016754
2016-06-27,1.225000038743019
2016-06-28,1.2009999752044678
2016-06-29,1.222000002861023
2016-06-30,1.2400000393390656
2016-07-01,1.2129999697208405
2016-07-05,1.1289999783039093
2016-07-06,1.121999979019165
2016-07-07,1.1169999539852142
2016-07-08,1.093000054359436
2016-07-11,1.1590000092983246
2016-07-12,1.2180000245571136
2016-07-13,1.170000046491623
2016-07-14,1.2280000150203705
2016-07-15,1.2959999740123749
