date,vix_near,vix_far
2016-04-11,16.010000228881836,16.010000228881836
2016-04-12,16.013333638509117,16.010909340598367
2016-04-13,16.022222730848526,16.013554029228274
2016-04-18,16.331482074878835,16.098685550474745
2016-04-20,16.580988024487908,16.187895948041227
2016-04-21,16.557325425952552,16.21717815539037
2016-04-22,16.49821667089057,16.231980064970028
2016-04-25,16.52214434553512,16.2627091222295
2016-04-26,16.541429538258768,16.29155374054555
2016-04-27,16.47761981932909,16.296867071538657
2016-04-28,16.518413340042635,16.324424645168754
2016-04-29,16.525609198537538,16.344022487928626
2016-05-02,16.713739516554323,16.411838639261287
2016-05-03,16.962492705860434,16.50712595246232
2016-05-04,17.12499539155344,16.59284184432388
2016-05-05,17.13999695313361,16.645310774502974
2016-05-06,17.07666488973556,16.673009864360836
2016-05-09,16.921110129940896,16.66728175035999
2016-05-10,16.754073445391914,16.644801598172165
2016-05-11,16.822715325085497,16.673455915108573
2016-05-12,16.658476857959016,16.642232643162888
2016-05-13,16.77231790530601,16.674756948329897
2016-05-16,16.858212165752512,16.707051833631315
2016-05-17,16.69547505691281,16.676410834140594
2016-05-18,16.613650292255024,16.655828100395034
2016-05-19,16.76243335015081,16.692570951808428
2016-05-20,16.651622335159136,16.66870089302364
2016-05-23,16.487748172576794,16.62245534342259
2016-05-24,16.398498552836028,16.585868431598218
2016-05-25,16.105665854478577,16.488971343067803
2016-05-26,15.84711054422107,16.383610304944007
2016-05-27,15.651407105774659,16.2814639343929
2016-05-30,15.76093791792855,16.254058080560483
2016-05-31,15.857291690972549,16.235507276605944
2016-06-01,15.85152784484433,16.199552083513392
2016-06-02,15.597685280758853,16.098683726156526
2016-06-03,15.398456853839237,15.998803387415023
2016-06-06,15.385637788118574,15.940730320984315
2016-06-07,15.21375848726541,15.843391190491113
2016-06-08,15.189172439284526,15.77944656802126
2016-06-09,15.349448318287667,15.76949688695514
2016-06-10,15.556298967868049,15.787724466961837
2016-06-13,15.897532619814053,15.859749508484038
2016-06-14,16.32835525789524,15.980681419899817
2016-06-15,16.572236660577623,16.078801242267325
2016-06-16,16.948158028031568,16.226183016873883
2016-06-17,17.08210547917762,16.32834823183714
2016-06-20,17.22807047203964,16.436680252375915
2016-06-21,17.238713724320373,16.511527522967363
2016-06-22,17.552475917938843,16.663206866804494
2016-06-23,17.708317431213786,16.786551738709875
2016-06-24,18.015544674398058,16.954137867987757
2016-06-27,18.187030011813874,17.09739812422937
2016-06-28,18.034686521954693,17.154907344048183
2016-06-29,17.409790963773833,17.06446120799036
2016-06-30,17.036527614358338,16.994055726857358
2016-07-01,16.604351666611613,16.880050639971977
2016-07-04,16.262901085643094,16.76186421122053
2016-07-05,15.961933942654479,16.634421978989323
2016-07-07,15.744622768308554,16.514020019046356
2016-07-08,15.523081820107722,16.3836545558336
2016-07-11,15.298721340561725,16.244231449073247
2016-07-12,15.125814138031547,16.11111947488215
2016-07-13,15.193876066589718,16.04010860659341
2016-07-14,15.332583929952229,16.001007792964668
2016-07-15,15.435056067742405,15.968188933906312
2016-07-18,15.620037302200993,15.970171737289206
2016-07-19,15.680024931712286,15.954701596693356
2016-07-20,15.783349878180912,15.957910521641065
2016-07-21,15.758899931502933,15.935373204959783
2016-07-22,15.67259995433529,15.89579382269071
2016-07-25,15.688400058566465,15.87981259035781
2016-07-26,15.665600000897339,15.856193253557926
2016-07-27,15.587066768990152,15.81744844006864
2016-07-28,15.44137771883686,15.756771274474243
2016-07-29,15.267585171322555,15.680701165548761
2016-08-01,15.238390215940298,15.635182905514853
2016-08-02,15.388926670754632,15.640166239593803
2016-08-03,15.672617704209145,15.694696560641473
2016-08-04,15.495078583913681,15.644269631794316
2016-08-05,15.113385849765699,15.526608790855716
2016-08-08,14.93892395070643,15.441462551013187
2016-08-09,14.805949287755297,15.359511406544081
2016-08-10,14.843966217268179,15.319555831066795
2016-08-11,14.632644157561112,15.218687122619537
2016-08-12,14.345096257628633,15.086988334905366
2016-08-16,14.290064273477682,15.004534877657221
2016-08-17,14.453376093308854,14.984122591776673
2016-08-18,14.485584125784191,14.94465691895469
2016-08-19,14.503722737807138,14.90786992285454
2016-08-22,14.415815082244148,14.847154454514868
2016-08-23,14.243876594339522,14.761049469425359
2016-08-24,13.992584319932403,14.645499496851977
2016-08-25,13.758389533905945,14.522272266397527
2016-08-26,13.695592920878703,14.435702032618135
2016-08-29,13.520395306017118,14.320638218406845
2016-08-30,13.353597023265971,14.202398421984737
2016-08-31,13.315731272550035,14.114907635542322
2016-09-01,13.323820899229322,14.044461500728282
2016-09-02,13.195880459613981,13.944055871606011
2016-09-06,13.047253639742655,13.835505337823648
2016-09-07,13.081502299338528,13.773186636069703
2016-09-08,13.094334828078715,13.713806022386919
2016-09-09,13.139556399464587,13.669823615100501
2016-09-12,13.83970419001578,13.812566902011197
2016-09-14,14.146469536304467,13.898697204453981
2016-09-15,14.324313125928239,13.969724759065054
2016-09-16,14.409542058520845,14.025204319486962
2016-09-19,14.586361232475,14.108367525022992
2016-09-20,14.650907399307066,14.169424998472827
2016-09-21,14.703938406076944,14.227659127667724
2016-09-22,14.249292321580594,14.14696285720592
2016-09-23,13.91619488105373,14.06542077927811
2016-09-26,14.134129818977227,14.1112915897823
2016-09-27,14.172753212651486,14.123901445256637
2016-09-28,14.0651689355909,14.099001348548734
2016-09-29,15.526779544707086,14.494546749856982
2016-09-30,16.077853131529984,14.7386788912496
2016-10-03,15.925235382873018,14.818798981641372
2016-10-04,15.613490178954734,14.834362689775626
2016-10-05,15.385660221028417,14.843057018448366
2016-10-06,15.203773531548242,14.842779121551958
2016-10-07,14.965848944738218,14.810708271512521
2016-10-10,14.740565950443155,14.763371152452565
2016-10-13,14.970377402020699,14.823973802700129
2016-10-14,14.943585049121385,14.829976215484004
2016-10-17,15.18238998188496,14.905432909295651
2016-10-18,14.968259975207651,14.872211732255412
2016-10-19,14.84883986903085,14.848374270839214
2016-10-20,14.622559938118549,14.786703889516916
2016-10-21,14.35837326664772,14.699730801715928
2016-10-24,14.348915485667165,14.666118903715029
2016-10-25,14.39261017119022,14.64919896176242
2016-10-26,14.411740050548527,14.63108994789903
2016-10-27,14.304493417894983,14.581899966507107
2016-10-28,14.419662151440079,14.588090843963757
2016-11-01,14.859774691332774,14.692809837341429
2016-11-02,15.506516206575366,14.884372510043166
2016-11-03,15.82767724216841,15.028520401253285
2016-11-04,16.168451621935517,15.19410949036387
2016-11-07,16.282301157584293,15.31373592113823
2016-11-08,16.44486759097742,15.446123606285997
2016-11-09,16.50324534039608,15.552839718372125
2016-11-10,16.155496906313047,15.544399747442565
2016-11-11,16.556998140992555,15.709454371343384
2016-11-15,17.754665300171794,16.11314030290583
2016-11-16,18.336443533447863,16.421036639005298
2016-11-17,18.46096205045613,16.629124134047785
2016-11-18,18.24397452228488,16.736476436947292
2016-11-21,18.529316475346498,16.951342250085695
2016-11-22,18.50954408801583,17.08940198311013
2016-11-23,18.353029697186336,17.17582006787533
2016-11-24,17.95535308059493,17.174381866015036
2016-11-25,17.840235590513807,17.213983570045627
2016-11-28,17.913490215656665,17.29089410603624
2016-11-29,17.84565983859533,17.328994558621368
2016-11-30,17.513773352886798,17.285449633425763
2016-12-01,17.23918241327707,17.231317897119567
2016-12-02,17.469455043909974,17.294834479670133
2016-12-05,17.409637001115765,17.29439506474806
2016-12-06,17.309758204194367,17.277631932530195
