date,open,high,low,close,volume
2016-04-11,144.3375345153009,147.161523548219,142.09626898083144,146.69085693359375,14365804
2016-04-12,145.68227268511856,145.97363972371951,143.88925622970115,144.51681518554688,6187731
2016-04-13,145.6822895826881,149.13383760310157,145.45816516347293,148.48387145996094,12397612
2016-04-18,150.1648166802293,151.6664662321599,148.39421783223645,150.3441162109375,14746380
2016-04-20,150.32171453417232,151.64405394839085,149.08901423371705,150.38894653320312,9345601
2016-04-21,150.43375537676195,150.83718994726252,146.84773305076953,147.901123046875,7212220
2016-04-22,146.10812094431066,148.4390360485015,145.43573707951876,146.04087829589844,6515084
2016-04-25,144.02373355741008,145.90639980530185,143.62030964207568,143.86685180664062,6324530
2016-04-26,140.39289016985808,147.18392885226604,140.07911600496055,146.75808715820312,15023308
2016-04-27,146.15293380516135,149.94067320167082,146.15293380516135,149.51483154296875,9677599
2016-04-28,147.92355014925857,148.82005845104192,144.13581029897796,144.74095153808594,20225037
2016-04-29,144.85303362845696,146.17537311801442,143.4858585972132,145.65988159179688,10729330
2016-05-02,144.89781492916572,145.23399615201498,143.17204132222741,143.95648193359375,3388196
2016-05-03,144.15820692784465,144.9874831732084,140.7514841527116,141.67041015625,11124246
2016-05-04,141.19976309090885,143.2169042379671,139.02572951796998,140.1463623046875,6402669
2016-05-05,139.85499717583014,143.5754943866907,139.675686991052,142.3876190185547,6576427
2016-05-06,140.2807956021902,143.17203714195733,137.16544035695438,142.41000366210938,16183901
2016-05-09,143.4410354623333,146.08572512858424,143.21691102533478,145.5926513671875,8857475
2016-05-10,145.68225619490383,146.1305049306035,144.203024712264,145.00987243652344,8564326
2016-05-11,143.44101818252454,144.2254589449378,141.69282647486588,142.5445098876953,11154663
2016-05-12,143.01518738570647,143.9341028642166,141.24458842939814,142.63417053222656,5782937
2016-05-13,142.5445169387772,144.20305896447738,141.26699175633922,143.149658203125,9804509
2016-05-16,142.67897205114926,147.92353606046154,142.14107351421055,147.6545867919922,13469690
2016-05-17,147.92351967740018,149.46999378206937,147.3407856720912,148.14764404296875,12444300
2016-05-18,146.84774449557915,150.07516803695634,146.04088594652657,149.1338348388672,7908685
2016-05-19,149.71656052158187,149.71656052158187,144.56164599200144,145.6150360107422,8918517
2016-05-20,146.46672724246082,151.82335934863596,145.5926366988136,148.0804443359375,21044560
2016-05-23,156.7317002242475,158.90573338861702,152.18193793192495,155.47659301757812,54852807
2016-05-24,155.99207808467958,157.6954446454192,155.3869369443813,156.01449584960938,16271995
2016-05-25,157.06790773037375,160.22809915422187,156.82137621061798,159.6005401611328,10338908
2016-05-26,159.57811395746208,163.16413599728384,158.5023062800324,162.46934509277344,13074273
2016-05-27,162.6934972806426,163.11933900228985,159.6677910003418,161.057373046875,10925400
2016-05-30,162.40258681156993,164.74626748931718,162.12686352825665,163.82717895507812,7646107
2016-05-31,163.59742218325337,165.1828366463079,160.49549677530555,161.3226776123047,15054842
2016-06-01,162.21879403302356,166.44659532935935,162.21879403302356,166.07896423339844,12409528
2016-06-02,165.3666579651948,165.6653527409628,162.31068653634736,164.51649475097656,13708259
2016-06-03,165.36668427466444,165.36668427466444,162.012017536329,162.6324005126953,7381218
2016-06-06,162.54048089026946,164.03398766749422,161.46054816956044,163.41360473632812,7694861
2016-06-07,164.05695009382367,167.1588643719082,164.05695009382367,166.69932556152344,11008034
2016-06-08,167.27376282082074,167.73330165396553,165.75727374824754,166.72230529785156,7611794
2016-06-09,166.63040189401832,166.79124595142804,162.03496974946898,162.7242889404297,12065100
2016-06-10,162.2417520246839,164.81519115556299,160.86312469908404,161.1618194580078,11163385
2016-06-13,160.1967890082346,162.47152247164792,158.84113315234495,160.794189453125,12184759
2016-06-14,161.25378078077998,162.678362363154,159.82918827520837,162.35667419433594,7849407
2016-06-15,162.6783526265888,165.43560784184766,162.56346244128764,165.22882080078125,9890057
2016-06-16,165.1598501291507,165.1598501291507,161.34564532650563,163.09190368652344,9057747
2016-06-17,163.29867679637823,165.75723630634218,163.29867679637823,165.3666229248047,9326214
2016-06-20,165.66536541930964,165.89514577344818,163.18383371873932,164.53948974609375,9020745
2016-06-21,164.2867423168511,165.29773876331012,163.36765364523413,164.7462921142578,6913784
